S/N,Station ID,Current Station Name ,Previous Station Name,Latitude,Longitude,Current Observations,,,,,Ultraviolet Index (UVI),Heat Stress,Historical Daily Records,Station Closed 
,,,,,,Rainfall,Temperature,Relative Humidity,Wind,Visibility,,,,
62,S25,Seletar Meteorological Station,Seletar,1.412840,103.869220,1,0,0,0,1,0,0,1,0
63,S80,Sembawang Meteorological Station,Sembawang,1.424748,103.820152,1,1,1,0,1,0,0,1,0
64,S100,Sungei Kadut Street 3,-,1.417200,103.748550,1,0,0,0,0,0,0,1,0
65,S201,Sunset Way,-,1.322941,103.767337,1,0,0,0,0,0,0,1,0
66,S203,Pasir Panjang Road,-,1.292015,103.770516,1,0,0,0,0,0,0,1,0
67,S208,Changi East Close,-,1.313630,104.003165,1,0,0,0,0,0,0,1,0
68,S209,Yishun Ring Road,-,1.421079,103.845177,1,0,0,0,0,0,0,1,0
69,S210,Woodlands Centre Road,-,1.440034,103.769036,1,0,0,0,0,0,0,1,0
70,S211,Kranji Road,-,1.429175,103.757113,1,0,0,0,0,0,0,1,0
71,S213,Coronation Walk,-,1.324273,103.809703,1,0,0,0,0,0,0,1,0
72,S214,Tanjong Rhu,-,1.299106,103.882892,1,0,0,0,0,0,0,1,0
73,S215,Geylang East Central,-,1.318130,103.883031,1,0,0,0,0,0,0,1,0
74,S216,Ang Mo Kio Avenue 10,-,1.360194,103.853344,1,0,0,0,0,0,0,1,0
75,S217,Bishan Street 13,-,1.350278,103.855000,1,0,0,0,0,0,0,1,0
76,S218,Bukit Batok Street 34,-,1.364907,103.750648,1,0,0,0,0,0,0,1,0
77,S219,Yio Chu Kang Road,-,1.379983,103.876392,1,0,0,0,0,0,0,1,0
78,S220,Compassvale Lane,-,1.386665,103.897970,1,0,0,0,0,0,0,1,0
79,S221,Hougang Avenue 1,-,1.356909,103.890875,1,0,0,0,0,0,0,1,0
80,S222,Henderson Road,-,1.289872,103.823637,1,0,0,0,0,0,0,1,0
81,S223,Margaret Drive,-,1.299843,103.802646,1,0,0,0,0,0,0,1,0
82,S224,Airport Boulevard,-,1.343944,103.983863,1,0,0,0,0,0,0,1,0
83,S226,Malan Road,-,1.274927,103.803919,1,0,0,0,0,0,0,1,0
84,S227,Woodlands Drive 62,-,1.439979,103.804100,1,0,0,0,0,0,0,1,0
85,S228,Jurong West Street 73,-,1.347033,103.700726,1,0,0,0,0,0,0,1,0
86,S229,Jurong West Street 42,-,1.351930,103.721670,1,0,0,0,0,0,0,1,0
87,S230,West Coast Road,-,1.301667,103.764440,1,0,0,0,0,0,0,1,0
88,S300,Bedok Reservoir,-,1.343065,103.919669,1,0,0,0,0,0,0,1,0
89,S301,Neo Tiew Lane 2 ,-,1.415322,103.728712,0,0,0,0,0,0,0,1,0
90,S302,Tengeh Reservoir,-,1.338130,103.663030,1,0,0,0,0,0,0,1,0
91,S303,Poyan Reservoir,-,1.383751,103.658176,0,0,0,0,0,0,0,1,0
92,S305,Sarimbun Reservoir,-,1.421604,103.681275,0,0,0,0,0,0,0,1,0
93,S306,Murnane Service Reservoir,-,1.350849,103.785966,1,0,0,0,0,0,0,1,0
94,S307,Pulau Tekong Reservoir,-,1.410542,104.041394,0,0,0,0,0,0,0,1,0
95,S308,Seletar Reservoir,-,1.401584,103.808133,1,0,0,0,0,0,0,1,0
96,S310,Lorong Danau,-,1.361097,103.682570,0,0,0,0,0,0,0,1,0
97,S127,Kallang Practice Track,-,1.305738,103.878174,0,0,0,0,0,0,1,1,0
98,S129,Bedok Stadium,-,1.325746,103.939691,0,0,0,0,0,0,1,1,0
99,S130,Clementi Stadium,-,1.310524,103.763426,0,0,0,0,0,0,1,1,0
100,S131 ,Hougang Stadium,-,1.368423,103.885865,0,0,0,0,0,0,1,0,1
101,S132,Jurong West Stadium,Jurong Stadium,1.337859,103.695383,0,0,0,0,0,0,1,1,0
102,S902,Yishun Walk,-,1.414570,103.831060,1,0,0,0,0,0,0,1,0
103,S124,Changi Meteorological Station,Changi,1.367770,103.982262,0,0,0,0,0,0,1,0,0
104,S126,Old Choa Chu Kang Road,Choa Chu Kang,1.372566,103.724358,0,0,0,0,0,0,1,0,0
105,S137,Sakra Road (Jurong Island),Jurong Island (Central),1.257100,103.698000,0,0,0,0,0,0,1,0,0
106,S125,Woodlands Stadium,-,1.433789,103.780731,0,0,0,0,0,0,1,0,0
107,S128,Bishan Stadium,-,1.354825,103.852219,0,0,0,0,0,0,1,0,0
108,S139,Tuas Terminal Gateway,-,1.263757,103.616417,0,0,0,0,0,0,1,0,0
109,S140,Choa Chu Kang Stadium,-,1.390524,103.749664,0,0,0,0,0,0,1,0,0
110,S141,Yio Chu Kang Stadium,-,1.382564,103.846190,0,0,0,0,0,0,1,0,0
111,S142,Palawan Green (Sentosa),Sentosa Palawan Green,1.249504,103.819178,0,0,0,0,0,0,1,0,0
112,S143,Punggol North,-,1.410469,103.904965,0,0,0,0,0,0,1,0,0
113,S187,Coronation Road,Bukit Timah(West),1.322506,103.801390,0,0,0,0,0,0,1,0,0
114,S144,Hong Lim Park ,-,1.286011,103.846989,0,0,0,0,0,0,1,0,0
115,S149,Tampines Central Park,-,1.353835,103.938823,0,0,0,0,0,0,1,0,0
116,S150,MOE (Evans) Stadium,-,1.321182,103.819737,0,0,0,0,0,0,1,0,0
117,S153,Bukit Batok Swimming Complex,-,1.344713,103.749078,0,0,0,0,0,0,1,0,0
118,S184,Sengkang East Avenue,-,1.382559,103.898526,0,0,0,0,0,0,1,0,0
,,,,,,,,,,,,,,
Updated 25 Feb 2026,,,,,,,,,,,,,,
